amountMax,amountMin,availability,conditions,currency,isSale,mid,merchant,shipping,brand,ean,manufacturer,manufacturerNumber,primaryCategories,upc
104.99 ,104.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,SanusVLF410B1,Electronics,7.94E+11,,,
69.00 ,64.99 ,In Stock,New,USD,TRUE,2,Walmart.com,Expedited,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
69.00 ,69.00 ,In Stock,New,USD,FALSE,3,Walmart.com,Expedited,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
69.99 ,69.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
66.99 ,66.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
66.00 ,66.00 ,In Stock,New,USD,FALSE,6,Walmart.com,Expedited,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
74.99 ,74.99 ,In Stock,New,USD,FALSE,7,California Electronics,Value,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
65.99 ,65.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
69.99 ,69.99 ,In Stock,New,USD,FALSE,9,Walmart.com,Expedited,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
69.00 ,64.00 ,In Stock,New,USD,TRUE,10,Walmart.com,Standard,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
69.99 ,69.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
64.99 ,64.99 ,In Stock,New,USD,FALSE,12,Walmart.com,Expedited,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
64.99 ,64.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Boytone,,Boytone,BT-210F,Electronics,6.42E+11
23.99 ,23.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,DENAQ,,Dantona,DQ-PA3032U-5525,Electronics,8.14E+11
31.99 ,31.99 ,TRUE,new,USD,FALSE,15,Wayfair - Walmart.com,,DENAQ,,Dantona,DQ-PA3032U-5525,Electronics,8.14E+11
20.99 ,20.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,Free Shipping,DENAQ,,Dantona,DQ-PA3032U-5525,Electronics,8.14E+11
34.99 ,34.99 ,TRUE,new,USD,FALSE,17,Wayfair - Walmart.com,,DENAQ,,Dantona,DQ-PA3032U-5525,Electronics,8.14E+11
23.99 ,23.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,DENAQ,,Dantona,DQ-PA3032U-5525,Electronics,8.14E+11
290.99 ,290.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,DreamWaveTREMOR,Electronics,7.52E+11,,,
279.99 ,279.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,DreamWaveTREMOR,Electronics,7.52E+11,,,
299.99 ,299.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,DreamWaveTREMOR,Electronics,7.52E+11,,,
225.99 ,225.99 ,TRUE,new,USD,TRUE,1,Bestbuy.com,,DreamWaveTREMOR,Electronics,7.52E+11,,,
289.99 ,289.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,DreamWaveTREMOR,Electronics,7.52E+11,,,
244.01 ,244.01 ,In Stock,New,USD,FALSE,24,Growkart,Value,Yamaha,27108105321,YAMAHA,NSSP1800BL,Electronics,27108105321
132.99 ,132.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,Free Shippingon orders 35 and up,Yamaha,27108105321,YAMAHA,NSSP1800BL,Electronics,27108105321
149.99 ,149.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Yamaha,27108105321,YAMAHA,NSSP1800BL,Electronics,27108105321
149.95 ,149.95 ,In Stock,New,USD,TRUE,27,bhphotovideo.com,Free Expedited Shipping,Yamaha,27108105321,YAMAHA,NSSP1800BL,Electronics,27108105321
136.99 ,136.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,Free Shipping on orders 35 and up,Yamaha,27108105321,YAMAHA,NSSP1800BL,Electronics,27108105321
254.99 ,254.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,,Universal Remote ControlX-7,Electronics,6.57E+11,,,
209.99 ,209.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,,Universal Remote ControlX-7,Electronics,6.57E+11,,,
299.98 ,299.98 ,undefined,new,USD,FALSE,1,Bestbuy.com,,Universal Remote ControlX-7,Electronics,6.57E+11,,,
239.99 ,239.99 ,Yes,New,USD,TRUE,1,Bestbuy.com,,Universal Remote ControlX-7,Electronics,6.57E+11,,,
299.98 ,299.98 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Universal Remote ControlX-7,Electronics,6.57E+11,,,
499.00 ,499.00 ,In Stock,New,USD,FALSE,34,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,,Bose,7209601100,Electronics,17817664585
699.99 ,699.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Bose,,Bose,7209601100,Electronics,17817664585
699.00 ,699.00 ,In Stock,New,USD,FALSE,36,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,,Bose,7209601100,Electronics,17817664585
689.95 ,689.95 ,yes,New,USD,FALSE,37,bargainbrokers,FREE,Bose,,Bose,7209601100,Electronics,17817664585
599.00 ,599.00 ,In Stock,New,USD,FALSE,38,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Bose,,Bose,7209601100,Electronics,17817664585
224.99 ,224.99 ,TRUE,new,USD,TRUE,1,Bestbuy.com,,SamsungMZ-7KE512BW,Electronics,8.87E+11,,,
249.99 ,249.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,SamsungMZ-7KE512BW,Electronics,8.87E+11,,,
139.99 ,139.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
162.99 ,162.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
189.99 ,189.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
194.82 ,194.82 ,In Stock,New,USD,FALSE,44,Beach Audio Inc,Standard,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
149.99 ,149.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
147.99 ,147.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
158.95 ,158.95 ,In Stock,New,USD,FALSE,47,Alex Magic Electronics,Value,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
154.99 ,154.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
151.99 ,151.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,CorsairCMK16GX4M2B3000C15,Electronics,8.44E+11,,,
55.99 ,55.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
56.99 ,56.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
65.99 ,65.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
71.99 ,71.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
63.99 ,63.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
59.99 ,59.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
64.99 ,64.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
58.99 ,58.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
57.99 ,57.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Outdoor TechOT1351-GR,Electronics,"818,389,012,855,818,000,000,000",,,
99.99 ,99.99 ,In Stock,New,USD,FALSE,59,UnbeatableSale,Freight,Motorola,8.16E+11,Motorola,SCOUT66,Electronics,8.16E+11
99.99 ,99.99 ,Yes,New,USD,FALSE,1,Bestbuy.com,,Motorola,8.16E+11,Motorola,SCOUT66,Electronics,8.16E+11
199.99 ,199.99 ,TRUE,new,USD,FALSE,1,Bestbuy.com,,SamsungSM-R140NZKAXAR,Electronics,8.87E+11,,,
149.99 ,149.99 ,In Stock,New,USD,TRUE,62,bhphotovideo.com,Free Expedited Shipping for most orders over $49,SamsungSM-R140NZKAXAR,Electronics,8.87E+11,,,
